ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
193,KB2,ARQ,Default,200,0.0005,1,25,0,0.1987,0.888889,1,8052.34
194,KB2,ARQ,Default,200,0.0005,1,25,2,0.2125,0.823045,0.925926,7529.41
195,KB2,ARQ,Default,200,0.0005,1,25,0,0.2029,0.888889,1,7885.66
196,KB2,ARQ,Default,200,0.0005,1,25,1,0.2031,0.854701,0.961538,7877.89
197,KB2,ARQ,Default,200,0.0005,1,25,1,0.2049,0.854701,0.961538,7808.69
198,KB2,ARQ,Default,200,0.0005,1,25,1,0.2126,0.854701,0.961538,7525.87
199,KB2,ARQ,Default,200,0.0005,1,25,0,0.2006,0.888889,1,7976.07
200,KB2,ARQ,Default,200,0.0005,1,25,2,0.2122,0.823045,0.925926,7540.06
201,KB2,ARQ,Default,200,0.0005,1,25,0,0.199,0.888889,1,8040.2
202,KB2,ARQ,Default,200,0.0005,1,25,1,0.2072,0.854701,0.961538,7722.01
203,KB2,ARQ,Default,200,0.0005,1,25,0,0.2022,0.888889,1,7912.96
204,KB2,ARQ,Default,200,0.0005,1,25,3,0.2148,0.793651,0.892857,7448.79
205,KB2,ARQ,Default,200,0.0005,1,25,0,0.205,0.888889,1,7804.88
206,KB2,ARQ,Default,200,0.0005,1,25,1,0.2053,0.854701,0.961538,7793.47
207,KB2,ARQ,Default,200,0.0005,1,25,0,0.1993,0.888889,1,8028.1
208,KB2,ARQ,Default,200,0.0005,1,25,2,0.2099,0.823045,0.925926,7622.68
209,KB2,ARQ,Default,200,0.0005,1,25,2,0.2221,0.823045,0.925926,7203.96
210,KB2,ARQ,Default,200,0.0005,1,25,1,0.2038,0.854701,0.961538,7850.83
211,KB2,ARQ,Default,200,0.0005,1,25,2,0.2113,0.823045,0.925926,7572.17
212,KB2,ARQ,Default,200,0.0005,1,25,2,0.2101,0.823045,0.925926,7615.42
213,KB2,ARQ,Default,200,0.0005,1,25,0,0.2014,0.888889,1,7944.39
214,KB2,ARQ,Default,200,0.0005,1,25,1,0.2035,0.854701,0.961538,7862.41
215,KB2,ARQ,Default,200,0.0005,1,25,3,0.2167,0.793651,0.892857,7383.48
216,KB2,ARQ,Default,200,0.0005,1,25,0,0.2009,0.888889,1,7964.16
217,KB2,ARQ,Default,200,0.0005,1,25,0,0.2003,0.888889,1,7988.02
218,KB2,ARQ,Default,200,0.0005,1,25,0,0.1996,0.888889,1,8016.03
219,KB2,ARQ,Default,200,0.0005,1,25,2,0.2129,0.823045,0.925926,7515.27
220,KB2,ARQ,Default,200,0.0005,1,25,1,0.2054,0.854701,0.961538,7789.68
221,KB2,ARQ,Default,200,0.0005,1,25,1,0.2065,0.854701,0.961538,7748.18
