ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
8466,ARQ,0.03,1,50,137,0.657,0.213904,2435.31
8467,ARQ,0.03,1,50,98,0.5209,0.27027,3071.61
8468,ARQ,0.03,1,50,144,0.6533,0.206186,2449.1
8469,ARQ,0.03,0,50,130,0.5977,0.222222,2676.93
8470,ARQ,0.03,1,50,78,0.4725,0.3125,3386.24
8471,ARQ,0.03,0,50,128,0.6018,0.224719,2658.69
8472,ARQ,0.03,1,50,113,0.5592,0.245399,2861.23
8473,ARQ,0.03,1,50,105,0.5433,0.258065,2944.97
8474,ARQ,0.03,1,50,63,0.4359,0.353982,3670.57
8475,ARQ,0.03,0,50,146,0.6471,0.204082,2472.57
8476,ARQ,0.03,0,50,151,0.6643,0.199005,2408.55
8477,ARQ,0.03,0,50,141,0.6445,0.209424,2482.54
8478,ARQ,0.03,1,50,108,0.5514,0.253165,2901.7
8479,ARQ,0.03,1,50,92,0.5081,0.28169,3148.99
8480,ARQ,0.03,1,50,122,0.5983,0.232558,2674.24
8481,ARQ,0.03,1,50,110,0.6005,0.25,2664.45
8482,ARQ,0.03,1,50,135,0.6487,0.216216,2466.47
8483,ARQ,0.03,1,50,63,0.4578,0.353982,3494.98
8484,ARQ,0.03,1,50,145,0.6465,0.205128,2474.86
8485,ARQ,0.03,1,50,93,0.5118,0.27972,3126.22
8486,ARQ,0.03,1,50,88,0.5012,0.289855,3192.34
8487,ARQ,0.03,1,50,100,0.5271,0.266667,3035.48
8488,ARQ,0.03,1,50,111,0.5658,0.248447,2827.85
8489,ARQ,0.03,1,50,153,0.6782,0.197044,2359.19
8490,ARQ,0.03,1,50,145,0.6459,0.205128,2477.16
8491,ARQ,0.03,1,50,94,0.5117,0.277778,3126.83
8492,ARQ,0.03,1,50,157,0.6822,0.193237,2345.35
8493,ARQ,0.03,1,50,103,0.5342,0.261438,2995.13
8494,ARQ,0.03,0,50,116,0.5764,0.240964,2775.85
8495,ARQ,0.03,1,50,125,0.6079,0.228571,2632.01
8496,ARQ,0.03,1,50,101,0.5642,0.264901,2835.87
8497,ARQ,0.03,1,50,125,0.6006,0.228571,2664
8498,ARQ,0.03,1,50,113,0.5574,0.245399,2870.47
8499,ARQ,0.03,0,50,97,0.6253,0.272109,2558.77
8500,ARQ,0.03,0,50,134,0.6315,0.217391,2533.65
8501,ARQ,0.03,1,50,145,0.6474,0.205128,2471.42
8502,ARQ,0.03,1,50,88,0.5025,0.289855,3184.08
8503,ARQ,0.03,1,50,138,0.644,0.212766,2484.47
